fault,snrDB,variant,true,pred,score_normal,score_drift,score_delamination,score_crack,score_impact
Drift,50,"ML=true,Kal=true",Drift,Impact,0,0,0,0.888962962962963,0.111037037037037
Drift,50,"ML=true,Kal=true",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,50,"ML=true,Kal=true",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,50,"ML=true,Kal=true",Normal,Normal,0,0,0,0.89962962962963,0.10037037037037
Drift,50,"ML=true,Kal=true",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,30,"ML=true,Kal=true",Drift,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,30,"ML=true,Kal=true",Normal,Normal,0,0,0,0.930518518518519,0.0694814814814815
Drift,30,"ML=true,Kal=true",Normal,Drift,0,0,0,0.905185185185185,0.0948148148148148
Drift,30,"ML=true,Kal=true",Normal,Impact,0,0,0,0.914296296296296,0.0857037037037037
Drift,30,"ML=true,Kal=true",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,20,"ML=true,Kal=true",Drift,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,20,"ML=true,Kal=true",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,20,"ML=true,Kal=true",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,20,"ML=true,Kal=true",Normal,Impact,0,0,0,0.914296296296296,0.0857037037037037
Drift,20,"ML=true,Kal=true",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,15,"ML=true,Kal=true",Drift,Normal,0,0,0,0.906296296296296,0.0937037037037037
Drift,15,"ML=true,Kal=true",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,15,"ML=true,Kal=true",Normal,Normal,0,0,0,0.89962962962963,0.10037037037037
Drift,15,"ML=true,Kal=true",Normal,Impact,0,0,0,0.914296296296296,0.0857037037037037
Drift,15,"ML=true,Kal=true",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,10,"ML=true,Kal=true",Drift,Normal,0,0,0,0.893185185185185,0.106814814814815
Drift,10,"ML=true,Kal=true",Normal,Impact,0,0,0,0.91162962962963,0.0883703703703703
Drift,10,"ML=true,Kal=true",Normal,Drift,0,0,0,0.882296296296296,0.117703703703704
Drift,10,"ML=true,Kal=true",Normal,Normal,0,0,0,0.918518518518519,0.0814814814814815
Drift,10,"ML=true,Kal=true",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,5,"ML=true,Kal=true",Drift,Impact,0,0,0,0.89962962962963,0.10037037037037
Drift,5,"ML=true,Kal=true",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,5,"ML=true,Kal=true",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,5,"ML=true,Kal=true",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,5,"ML=true,Kal=true",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,0,"ML=true,Kal=true",Drift,Impact,0,0,0,0.908962962962963,0.091037037037037
Drift,0,"ML=true,Kal=true",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,0,"ML=true,Kal=true",Normal,Normal,0,0,0,0.886518518518518,0.113481481481481
Drift,0,"ML=true,Kal=true",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,0,"ML=true,Kal=true",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,-5,"ML=true,Kal=true",Drift,Impact,0,0,0,0.888962962962963,0.111037037037037
Drift,-5,"ML=true,Kal=true",Normal,Normal,0,0,0,0.906296296296296,0.0937037037037037
Drift,-5,"ML=true,Kal=true",Normal,Normal,0,0,0,0.91162962962963,0.0883703703703703
Drift,-5,"ML=true,Kal=true",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,-5,"ML=true,Kal=true",Normal,Normal,0,0,0,0.906296296296296,0.0937037037037037
Drift,50,"ML=true,Kal=false",Drift,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,50,"ML=true,Kal=false",Normal,Crack,0,0,0,0.906296296296296,0.0937037037037037
Drift,50,"ML=true,Kal=false",Normal,Impact,0,0,0,0.894296296296296,0.105703703703704
Drift,50,"ML=true,Kal=false",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,50,"ML=true,Kal=false",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,30,"ML=true,Kal=false",Drift,Normal,0,0,0,0.89962962962963,0.10037037037037
Drift,30,"ML=true,Kal=false",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,30,"ML=true,Kal=false",Normal,Impact,0,0,0,0.91162962962963,0.0883703703703703
Drift,30,"ML=true,Kal=false",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,30,"ML=true,Kal=false",Normal,Normal,0,0,0,0.894296296296296,0.105703703703704
Drift,20,"ML=true,Kal=false",Drift,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,20,"ML=true,Kal=false",Normal,Impact,0,0,0,0.882296296296296,0.117703703703704
Drift,20,"ML=true,Kal=false",Normal,Drift,0,0,0,0.888962962962963,0.111037037037037
Drift,20,"ML=true,Kal=false",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,20,"ML=true,Kal=false",Normal,Normal,0,0,0,0.91162962962963,0.0883703703703703
Drift,15,"ML=true,Kal=false",Drift,Impact,0,0,0,0.914296296296296,0.0857037037037037
Drift,15,"ML=true,Kal=false",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,15,"ML=true,Kal=false",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,15,"ML=true,Kal=false",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,15,"ML=true,Kal=false",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,10,"ML=true,Kal=false",Drift,Normal,0,0,0,0.89962962962963,0.10037037037037
Drift,10,"ML=true,Kal=false",Normal,Impact,0,0,0,0.882296296296296,0.117703703703704
Drift,10,"ML=true,Kal=false",Normal,Normal,0,0,0,0.91162962962963,0.0883703703703703
Drift,10,"ML=true,Kal=false",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,10,"ML=true,Kal=false",Normal,Normal,0,0,0,0.906296296296296,0.0937037037037037
Drift,5,"ML=true,Kal=false",Drift,Normal,0,0,0,0.905185185185185,0.0948148148148148
Drift,5,"ML=true,Kal=false",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,5,"ML=true,Kal=false",Normal,Impact,0,0,0,0.914296296296296,0.0857037037037037
Drift,5,"ML=true,Kal=false",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,5,"ML=true,Kal=false",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,0,"ML=true,Kal=false",Drift,Normal,0,0,0,0.89962962962963,0.10037037037037
Drift,0,"ML=true,Kal=false",Normal,Impact,0,0,0,0.914296296296296,0.0857037037037037
Drift,0,"ML=true,Kal=false",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Drift,0,"ML=true,Kal=false",Normal,Normal,0,0,0,0.91162962962963,0.0883703703703703
Drift,0,"ML=true,Kal=false",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,-5,"ML=true,Kal=false",Drift,Delamination,0,0,0,0.882296296296296,0.117703703703704
Drift,-5,"ML=true,Kal=false",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Drift,-5,"ML=true,Kal=false",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Drift,-5,"ML=true,Kal=false",Normal,Impact,0,0,0,0.914296296296296,0.0857037037037037
Drift,-5,"ML=true,Kal=false",Normal,Normal,0,0,0,0.888962962962963,0.111037037037037
Delamination,50,"ML=true,Kal=true",Normal,Impact,0,0,0,0.914296296296296,0.0857037037037037
Delamination,50,"ML=true,Kal=true",Delamination,Normal,0,0,0,0.888962962962963,0.111037037037037
Delamination,50,"ML=true,Kal=true",Normal,Crack,0,0,0,0.914296296296296,0.0857037037037037
Delamination,50,"ML=true,Kal=true",Normal,Normal,0,0,0,0.914296296296296,0.0857037037037037
Delamination,50,"ML=true,Kal=true",Normal,Normal,0,0,0,0.903851851851852,0.0961481481481481
Delamination,30,"ML=true,Kal=true",Normal,Normal,0,0,0,0.882296296296296,0.117703703703704
Delamination,30,"ML=true,Kal=true",Delamination,Drift,0,0,0,0.882296296296296,0.117703703703704
